combinations=90 max_workers=2
{'name': 'lq_0p05_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p01_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p01_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p05_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p05_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p05_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p1_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p1_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p1_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p2_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p2_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p2_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p01_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p01_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p01_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p05_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p05_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p05_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p1_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p1_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p1_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p2_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p2_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p8_ls_0p2_lb_0p5', 'status': 'success', 'returncode': 0}
Summary saved.
valid_prediction_best lq= 0.2 ls= 0.1 lb= 0.8 valid_acc= 0.751960085531005 test_acc= 0.7409123307198859 q_f1= 0.5416666666666666
valid_balanced_best_qf1_ge_0p8 lq= 0.8 ls= 0.1 lb= 0.8 valid_acc= 0.7487526728439059 test_acc= 0.739783796626277 q_f1= 0.8217054263565892
optimistic_any_split_best lq= 0.2 ls= 0.1 lb= 0.8 valid_acc= 0.751960085531005 test_acc= 0.7409123307198859 q_f1= 0.5416666666666666
